category,name,original_price,discounted_price,PUM,url
Higiene y Cuidado,Lactibon Fem Loción,$ 78.950,,"$3.947,50",https://www.drogueriascolsubsidio.com/lactibon-fem-locion-7703281000365/p
Higiene y Cuidado,Babaria Serum Vitamina C,$ 40.150,,"$1.338,33",https://www.drogueriascolsubsidio.com/babaria-serum-vitamina-c-8410412100076/p
Higiene y Cuidado,Tonico Nivea Luminous Glow Liq Ref 100ml,$ 44.950,$ 28.318,"$449,50",https://www.drogueriascolsubsidio.com/tonico-nivea-luminous-glow-liq-ref-100ml-4006000181660/p
Higiene y Cuidado,Desodorante En Crema Stop Sweat,$ 20.100,,"$335,00",https://www.drogueriascolsubsidio.com/desodorante-en-crema-stop-sweat-7702789014676/p
Belleza y Vitalidad,Isdin Fotoprotector Compact Colo Bronce Spf50+,$ 129.050,,"$129.050,00",https://www.drogueriascolsubsidio.com/isdin-fotoprotector-compact-colo-bronce-spf50-8470001654557/p
Belleza y Vitalidad,Sunaid Polvo Compacto Translucido,$ 154.750,,"$12.895,83",https://www.drogueriascolsubsidio.com/sunaid-polvo-compacto-translucido-7707206270178/p
Belleza y Vitalidad,Prona Gel Para Uñas,$ 53.500,,"$6.687,50",https://www.drogueriascolsubsidio.com/prona-gel-para-unas-7707206270086/p
Belleza y Vitalidad,Chapstick Med Hidrata Protege y Repara Labios 1und,$ 20.550,,"$5.137,50",https://www.drogueriascolsubsidio.com/chapstick-med-hidrata-protege-y-repara-labios-1und-7702132004606/p
Belleza y Vitalidad,Chapstick Cereza Protege Los Labios De La Resequedad 1und,$ 18.750,,"$4.464,29",https://www.drogueriascolsubsidio.com/chapstick-cereza-36600813719/p
Belleza y Vitalidad,Nivea Lip Care Cherry,$ 21.550,,"$4.585,11",https://www.drogueriascolsubsidio.com/nivea-lip-care-cherry-4005808377534/p
Belleza y Vitalidad,Removedor Con Vitamina E x 55 Ml,$ 10.050,,"$182,73",https://www.drogueriascolsubsidio.com/removedor-con-vitamina-e-x-55-ml-7702215130123/p
Belleza y Vitalidad,Cepillo Secador Keration Gama,$ 217.400,,"$217.400,00",https://www.drogueriascolsubsidio.com/cepillo-secador-keration-8023277149625/p
Belleza y Vitalidad,ATIDEX SOLUCIÓN ALARGADORA PESTAÑAS,$ 50.750,,"$5.075,00",https://www.drogueriascolsubsidio.com/atidex-solucion-alargadora-pestanas-7707239276031/p
Belleza y Vitalidad,Isdin Protector Labial Color Amarillento Sfp30,$ 34.800,,"$8.700,00",https://www.drogueriascolsubsidio.com/isdin-protector-labial-color-amarillento-sfp30-8429420268296/p
Belleza y Vitalidad,Durexnail Laca Ungueal,$ 142.900,,"$14.290,00",https://www.drogueriascolsubsidio.com/durexnail-laca-ungueal-7707222420496/p
Belleza y Vitalidad,Chapstick Ultra Humectante Con Protección Solar Spf15 1und,$ 20.550,,"$5.137,50",https://www.drogueriascolsubsidio.com/chapstick-ultra-humectante-con-proteccion-solar-spf15-1und-7702132002633/p
Mamás y bebés,Crema N.4 Original,$ 43.150,,"$392,27",https://www.drogueriascolsubsidio.com/crema-antip-n4-10-7702057087586/p
Mamás y bebés,Nestogeno Comfort Fórmula Infantil Etapa 2,$ 114.800,,"$82,00",https://www.drogueriascolsubsidio.com/nestogeno-comfort-formula-infantil-etapa-2-7501058637918/p
Mamás y bebés,Jabón De Tocador Dove Baby Humectación Sensible,$ 15.400,,"$68,44",https://www.drogueriascolsubsidio.com/jabon-de-tocador-dove-baby-humectacion-sensible-7702191662977/p
Mamás y bebés,Baño Líquido Almipro Syndet,$ 34.900,,"$87,25",https://www.drogueriascolsubsidio.com/bano-liquido-almipro-syndet-7709880588495/p
Mamás y bebés,Fórmula Infantil Similac 5hmos Etapa 1( 0-6meses),$ 232.000,,"$165,71",https://www.drogueriascolsubsidio.com/formula-infantil-similac-5hmos-etapa-1-0-6meses-7703186863072/p
Mamás y bebés,Enfamil Premium Promental Confort Pro Polvo,$ 174.500,,"$218,13",https://www.drogueriascolsubsidio.com/enfamil-premium-promental-confort-pro-polvo-7756050001094/p
Mamás y bebés,Crema N.4 Medicada 20%,$ 30.200,,"$503,33",https://www.drogueriascolsubsidio.com/crema-antipanalitis-n4-medicada-7702057104603/p
Mamás y bebés,Crema Bebé Desitin Creamy X113 Gr,$ 42.000,,"$371,68",https://www.drogueriascolsubsidio.com/crema-bebe-desitin-creamy-x113-gr-7702031927457/p
Mamás y bebés,Formula Infantil Nutramigen Premium Con Lgg De 0-36M,$ 144.050,,"$403,50",https://www.drogueriascolsubsidio.com/formula-infantil-nutramigen-premium-con-lgg-de-0-12-7506205804847/p
Mamás y bebés,Nutriben Crecimiento Polvo Etapa 3,$ 117.350,,"$146,69",https://www.drogueriascolsubsidio.com/nutriben-crecimiento-polvo-etapa-3-7703546881487/p
Mamás y bebés,Crema Para Peinar Jhonson's Hidratación Intensa,$ 18.700,,"$93,50",https://www.drogueriascolsubsidio.com/crema-para-peinar-jhonsons-hidratacion-intensa-7702031878452/p
Mamás y bebés,Ecopitos Copitos De Algodón - Palitos De Papél Biodegradables,$ 6.900,,"$6.900,00",https://www.drogueriascolsubsidio.com/ecopitos-copitos-de-algodon---palitos-de-papel-biodegradables-7702560040863/p
Higiene y Cuidado,Cepillo Dental Pro Medio 425,$ 16.150,$ 12.950,"$8.075,00",https://www.drogueriascolsubsidio.com/cepillo-dental-pro-medio-425-7501086453931/p
Higiene y Cuidado,Enjuague Bucal Plax Odor Control 250ml,$ 11.900,$ 8.925,"$47,60",https://www.drogueriascolsubsidio.com/enjuague-bucal-plax-odor-control-250ml-7509546679525/p
Higiene y Cuidado,Ropa Interior Absorbente Tena Pants Clásico L x 16 Unidades,$ 62.000,,"$3.875,00",https://www.drogueriascolsubsidio.com/ropa-interior-absorbente-tena-pants-clasico-l-x-16-unidades-7702026181956/p
Higiene y Cuidado,Desodorante LSS Mujer Derma Spray 91gx2und,$ 36.150,$ 27.112,"$198,63",https://www.drogueriascolsubsidio.com/desodorante-lss-mujer-derma-spray-91gx2und-7509546076478/p
Higiene y Cuidado,Ropa Interior Absorbente Tena Pants Ultra M x 20 Unidades,$ 90.850,,"$4.542,50",https://www.drogueriascolsubsidio.com/ropa-interior-absorbente-tena-pants-ultra-m-x-20-unidades-7702026179373/p
Higiene y Cuidado,Crema Corporal Lubriderm Prevención 946 ML,$ 87.100,$ 74.035,"$92,07",https://www.drogueriascolsubsidio.com/crema-corporal-lubriderm-prevencion-946-ml-7702031571445/p
Higiene y Cuidado,Jabon Palmolive Avena Y Azucar 3x110g,$ 11.500,$ 9.200,"$34,85",https://www.drogueriascolsubsidio.com/jabon-palmolive-avena-y-azucar-3x110g-7509546677040/p
Higiene y Cuidado,Tio Nacho Shampo Anticanas,$ 45.350,,"$47,74",https://www.drogueriascolsubsidio.com/tio-nacho-shampo-anticanas-650240069949/p
Higiene y Cuidado,Goicoechea Piernas Relajadas Doble Mentol y Centella Crema,$ 43.200,,"$108,00",https://www.drogueriascolsubsidio.com/goicoechea-piernas-relajadas-doble-mentol-y-centella-crema-650240055867/p
Higiene y Cuidado,Toalla Higienica Natural Invisible Clasica Aseg x 10 Unidades,$ 4.050,,"$405,00",https://www.drogueriascolsubsidio.com/toalla-higienica-natural-invisible-clasica--aseg-x-10-unidades-7702027041662/p
Higiene y Cuidado,Crema Dental Colgate Sensitive Pro Alivio x 110,$ 32.400,$ 24.300,"$294,55",https://www.drogueriascolsubsidio.com/crema-dental-colgate-sensitive-pro-alivio-x-110-7891024132647/p
Higiene y Cuidado,Crema Nivea Multiusos X 200ml,$ 51.350,,"$256,75",https://www.drogueriascolsubsidio.com/crema-nivea-multiusos-x-200ml-7501054500193/p
Belleza y Vitalidad,Chapstick Menta Protege Los Labios De La Resequedad 1und,$ 18.750,,"$4.464,29",https://www.drogueriascolsubsidio.com/36600814617pfizercuidado-facialmedicamentoschapstick-menta-36600814617/p
Belleza y Vitalidad,Protector Labial Nivea Lip Care Fresa,$ 17.900,,"$3.729,17",https://www.drogueriascolsubsidio.com/protector-labial-nivea-lip-care-fresa-4005808850839/p
Belleza y Vitalidad,Chapstick Hidratación Total Con Antioxidante Coq10 1 Unidad,$ 20.550,,"$5.137,50",https://www.drogueriascolsubsidio.com/chapstick-hidratacion-total-con-antioxidante-coq10-1-unidad-7702132009458/p
Belleza y Vitalidad,Lima Curva Freestyle Ref E09,$ 7.800,,"$7.800,00",https://www.drogueriascolsubsidio.com/lima-curva-freestyle-ref-e09-7702277080343/p
