brand,category,discounted_price,image_url,invima,list_price,name,presentacion,product_id,pum,sku,stock,subcat1,subcat2,subcat3,subcat4,url
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205753/7707232094717-1.jpg.jpg?v=638830076864630000,NSOC62782-14CO,32050.0,Oferta Venasfull Crema Pague:400g Lleve 420g,FRASCO X 400 G,4191,"Gramo a $76,31",4186,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/oferta-venasfull-crema-pague400g-lleve-420g-7707232094717/p
LABORATORIOS MEDICK SAS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/176126/7703286116900.jpg?v=637681081082730000,PFM2019-0002651,29050.0,Alcachofa + Boldo Cápsula Dura Botanitas,FRASCO X 100 CAP,10730,"Capsula a $290,50",10732,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/alcachofa--boldo-capsula-dura-botanitas-7703286116900/p
N T I NEW TRADE,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/167422/7610211220109.jpg?v=637322480284170000,RSIA22I3605,19400.0,Hermesetas Mini Sweeteners Endulzante Bajo En Calorias,CAJA X 300 TAB,8261,"Tableta a $64,67",8262,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/hermesetas-mini-sweeteners-endulzante-bajo-en-calorias-7610211220109/p
FUNDACION FARMACOLOGIA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/176577/7707176461132.jpg?v=637708598430330000,PFT2020-000175-R2,19250.0,Extracto De Hojas De Tomate Enjuague Bucal,FRASCO X 120 ML,3752,"Mililitro a $160,42",3746,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/7707176461132fundacion-farmacologianaturalesmedicamentosextracto-de-hojas-de-tomate-enjuague-bucaltomate-hoja-7707176461132/p
SUMMA DISTRIBUCIONES SAS,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/207557/7708814809132--2-.jpg?v=638914879379300000,RSA-0017547-2022,100600.0,Glicinato Magnesio Fylmut ava,FRASCO X 450 G,15840,"Gramo a $223,56",15858,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/glicinato-magnesio-fylmut-ava-7708814809132/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/205731/7707232092959.jpg.jpg?v=638830067142830000,NSA-0017128-2024,46900.0,Oferta Te Esbelt Eres Pague: 2 Und Lleve: 3 Und,CAJA X 3 UN,4176,"Unidad a $15.633,33",4171,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/oferta-te-esbelt-eres-pague-2-und-lleve-3-und-7707232092959/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203113/_0011_1315465_COLLAGEN Y BIOTIN COMPLEX_751273786855.jpg.jpg?v=638750625409370000,SD2015-0003667,73200.0,Collagen y Biotin Cápsula Blanda,FRASCO X 60 CAP,279,"Capsula a $1.220,00",279,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/collagen-y-biotin-capsula-blanda-751273786855/p
FUNAT,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/209126/7706849118564.jpg?v=638957063958500000,SD2018-0004230,49050.0,Biotina 900mcg Capsula Blanda Funat,FRASCO X 60 CAP,13558,"Capsula a $817,50",13568,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/biotina-900mcg-capsula-blanda-funat-7706849118564/p
HEALTY AMERICA,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/203133/1259239_VITAMIN D3 2000UI PLUS FCOX100CBL HA_751273780198.jpg.jpg?v=638750631722600000,SD2015-0003523,41500.0,Vitamin D3 2000 Ui Plus Cápsula Blanda,CAJA X 100 CAP,268,"Capsula a $415,00",268,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/751273780198healty-americanaturalesmedicamentosvitamin-d3-2000-ui-plus-capsula-blanda-751273780198/p
NATURAL FRESHLY,Medicamentos,,https://colsubsidio.vtexassets.com/arquivos/ids/208397/7707772810495.jpg?v=638935593596130000,NSOC11082-21CO,41900.0,Anhmorroida Max Forte Crema Topica,TUBO X 80 G,15536,"Gramo a $523,75",15556,10000,Medicina Alternativa,Naturales,,,https://www.drogueriascolsubsidio.com/anhmorroida-max-forte-crema-topica-7707772810495/p
